Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-638.3609	519.66504	-7.0327168	-1509.4443	-379.4162	575.3095	-2.42889	-1527.8888	500.14285	250.5	3999	-8.854934	4.881285	3.9807408	-28.857092	8.703251	0.10992958	87.53314328193665
2	-1172.9891	505.5489	-256.2726	-1630.6709	-328.15897	482.98016	-1.6596984	-1232.6246	820.6	309.3	7999	-21.38079	6.7639937	2.2355733	-44.989536	20.866528	0.42674464	180.75041317939758
3	-836.81964	542.6948	-371.30542	-1713.3772	-461.32626	547.0963	-2.9335325	-1283.0046	597.1667	410.3	11999	-30.17143	8.749043	2.3233345	-62.239204	29.591946	0.6876819	285.329304933548
4	-1248.0957	160.31384	-975.26184	-1378.2131	-683.77435	454.72104	-2.0300791	-1150.8616	1000.0	677.1	15999	-38.147167	9.7522545	2.1540642	-78.12503	37.685	0.88930273	419.19306445121765
5	-436.27948	449.12546	-2.3681924	-1108.0155	-607.9293	410.1212	-48.160786	-1192.3696	409.0909	629.2	19999	-43.32591	11.464488	12.483363	-88.9137	42.74927	1.1866213	546.5351483821869
6	-216.7883	242.86272	-2.2062454	-865.73517	-351.14938	391.9304	-2.1520855	-913.2788	230.8	388.3	23999	-45.119766	12.650835	18.892227	-95.306465	44.50453	1.807511	647.7422251701355
7	-475.1772	371.39798	-27.727188	-940.8293	-585.5025	380.92465	-6.586315	-1027.1266	534.25	662.0	27999	-45.34334	11.859837	11.634767	-94.10813	44.72822	1.9032135	778.6265606880188
8	-477.44223	479.14703	-2.1595113	-1286.7455	-201.05835	238.19322	-4.2911177	-706.28906	442.7	258.6	31999	-45.82226	11.296006	7.5047812	-88.99221	45.267452	1.6951329	866.0265991687775
9	-482.56342	454.6947	-12.771356	-1336.9083	-273.05624	391.51392	-2.1043372	-1243.8887	492.25	264.7	35999	-46.83115	11.340968	10.094183	-88.83498	46.32979	1.8127698	953.1949052810669
10	-302.8797	355.73196	-19.667116	-1195.95	-320.9533	290.21213	-24.335102	-854.07104	320.81818	374.1	39999	-47.541607	10.898357	7.2126317	-88.55372	47.002678	1.966895	1052.405240535736
11	-161.88736	210.13832	-2.479358	-612.38544	-385.471	375.8286	-2.2940648	-962.6325	215.78947	506.9	43999	-47.06804	10.147832	14.223081	-86.11959	46.522266	2.229113	1167.0896573066711
12	-223.17082	322.57654	-1.8692209	-1454.1204	-283.12762	412.54385	-2.9487689	-1183.7386	196.10527	324.4	47999	-46.597103	9.804998	10.242345	-120.21332	46.081272	2.712389	1262.1099970340729
13	-271.12366	221.09248	-13.574659	-555.8569	-178.80466	240.59421	-6.5405536	-599.0318	447.4	264.2	51999	-46.65397	9.73366	10.350161	-93.54424	46.170177	2.6113007	1350.560111284256
14	-198.0293	237.80727	-2.216329	-881.72003	-138.32121	317.0447	-3.356908	-1080.0671	221.55556	82.7	55999	-46.88929	9.880193	10.320944	-97.75213	46.426876	2.8313496	1419.667153596878
15	-238.28995	364.29404	-2.3167887	-1288.6809	-165.24911	203.7009	-2.5406473	-574.4394	286.8	239.8	59999	-46.80012	10.034528	14.623707	-100.31616	46.323814	2.8227735	1505.448959350586
16	-214.66699	255.08072	-2.162127	-659.8309	-156.32825	229.83305	-4.6799717	-631.56537	326.9	219.7	63999	-46.03098	9.949315	9.456812	-102.45528	45.56182	2.7673624	1589.171375989914
17	-214.21799	203.26596	-6.390793	-567.5643	-250.7644	310.42807	-8.826392	-1070.5117	275.7857	258.3	67999	-45.55595	9.835134	27.154314	-105.254326	45.100555	2.446632	1677.0298881530762
18	-225.28873	270.16937	-2.2314024	-620.41675	-164.80832	250.83757	-2.6013386	-774.92554	373.9091	150.9	71999	-44.730225	9.7778845	27.64239	-107.07296	44.265648	2.392277	1754.1133167743683
19	-205.88702	205.08554	-2.3616176	-612.41156	-348.273	314.21463	-19.722225	-859.8572	255.625	514.9	75999	-43.885876	9.721	15.081667	-107.698746	43.438873	2.404569	1870.3957540988922
20	-161.49025	253.56754	-2.3511934	-903.7881	-203.1974	306.23956	-2.3149142	-991.93463	182.5	235.7	79999	-43.438423	9.646935	26.572113	-105.36535	42.995632	2.2953598	1956.2445690631866
21	-264.16306	261.24478	-2.1525316	-929.76013	-215.16025	207.70972	-5.191082	-488.64386	315.92307	417.4	83999	-42.99749	9.62306	33.11138	-110.48659	42.559753	2.3154037	2061.888411998749
22	-141.67444	195.2839	-2.21759	-536.5731	-432.0183	445.70285	-18.287777	-1564.5463	265.4375	472.5	87999	-42.67566	9.810038	29.421425	-107.73922	42.24016	2.1443355	2174.9443941116333
23	-197.29854	272.4841	-2.5128446	-1073.7722	-165.53574	305.73907	-1.2481227	-936.63336	227.11765	207.8	91999	-41.83739	10.001899	20.527822	-109.02217	41.39526	2.2395797	2259.140237092972
24	-153.44373	199.5374	-2.186617	-658.2634	-234.5048	429.5311	-2.2715003	-1455.6349	190.70589	221.6	95999	-41.311573	9.554124	18.002934	-109.65539	40.885464	2.3032312	2345.4903881549835
25	-226.73627	297.2615	-6.785786	-1013.3883	-287.35068	426.68436	-2.0955563	-1177.2408	333.6154	247.7	99999	-40.97146	9.087899	77.17364	-106.5648	40.553867	2.341498	2434.256437063217
26	-152.96603	214.0875	-2.260136	-872.19617	-254.75827	405.65	-15.986249	-1127.502	155.07692	181.7	103999	-40.73831	8.870968	31.71699	-99.770935	40.32843	2.2366247	2516.514991760254
27	-198.62299	238.29807	-2.2791932	-527.99854	-92.46704	112.17402	-2.4637282	-408.5328	369.9091	139.0	107999	-40.41191	8.847972	35.15013	-95.58649	40.002876	2.1795251	2593.67089676857
28	-281.026	211.93858	-32.336197	-575.9249	-279.10468	489.9484	-3.8452342	-1621.0183	476.0	254.5	111999	-40.296314	8.880252	36.09241	-85.306175	39.90914	2.2653298	2682.700663805008
29	-145.37955	191.38521	-2.3392754	-854.1093	-151.65674	190.29047	-2.3246145	-450.64682	144.64	314.5	115999	-40.287594	9.110188	31.472189	-84.67125	39.90735	2.0706768	2779.1263802051544
30	-156.87999	174.99908	-2.702449	-630.14813	-80.5535	137.29955	-1.7552388	-481.1684	208.52632	124.5	119999	-40.292446	9.149684	21.522345	-85.07364	39.915306	2.0935762	2854.252783060074
31	-172.46039	352.23978	-2.2072754	-1829.6241	-315.69843	483.4801	-3.8399704	-1362.6776	159.33333	317.7	123999	-40.184155	9.285261	38.76242	-86.471634	39.804256	2.1945944	2950.124693632126
32	-152.38358	170.43001	-2.4046104	-514.92645	-191.63243	194.48724	-2.3312552	-547.0975	221.16667	333.3	127999	-40.185535	9.227415	26.875294	-86.619865	39.81414	2.3513274	3047.8364617824554
33	-170.51448	207.82077	-2.6965942	-531.59937	-151.62692	226.18019	-2.4117935	-779.3094	286.25	164.0	131999	-40.121014	9.200644	45.466667	-86.20681	39.744244	2.5287187	3126.74751329422
34	-288.04773	235.97308	-29.128635	-636.3939	-76.26071	150.31032	-2.3588707	-505.94098	441.8889	126.0	135999	-39.72231	9.242998	31.528519	-86.06254	39.34748	2.3696365	3202.858777999878
35	-158.92625	206.87302	-2.4329925	-679.655	-92.84301	153.34105	-2.3976815	-540.62646	233.15	122.8	139999	-39.541496	9.087261	80.11533	-84.17813	39.17283	2.299668	3278.8292610645294
36	-259.8535	224.03087	-15.609387	-606.4278	-134.38673	183.26222	-2.289909	-514.83435	413.75	220.9	143999	-39.174004	8.825697	87.74992	-82.109924	38.790802	2.2410448	3364.679008960724
37	-287.34167	451.8771	-2.0627234	-1428.8464	-72.22965	141.4118	-2.3007252	-493.5055	197.8	114.1	147999	-38.83606	8.556247	31.73309	-80.32794	38.452274	2.274381	3440.1227583885193
38	-173.93488	327.39728	-2.2996378	-1750.8652	-113.52327	141.91765	-2.5326333	-496.10983	133.86208	142.1	151999	-38.97213	8.340056	50.04041	-88.1707	38.59704	2.5014894	3517.324210166931
39	-123.28627	178.92589	-1.4707285	-823.2887	-120.16646	189.5452	-2.38081	-517.3775	102.05	214.2	155999	-39.261864	8.703161	17.371939	-88.250595	38.898243	2.8543198	3602.390379667282
40	-356.55112	452.13095	-13.302572	-1172.2916	-134.98901	227.95102	-2.100122	-713.0457	349.0	213.5	159999	-39.704777	9.071787	29.224173	-95.233475	39.33787	2.9986436	3686.822189807892
41	-136.41843	265.94257	-2.3230343	-1361.3195	-192.6614	213.9737	-6.5020394	-522.6744	158.12903	332.0	163999	-39.822685	9.158098	58.76019	-102.09039	39.445747	3.1741679	3784.9130284786224
42	-118.761505	137.20354	-2.099984	-533.1947	-143.5108	186.11282	-6.8112426	-521.70703	147.48148	230.6	167999	-39.655533	9.37566	30.764656	-96.39274	39.278484	3.0492342	3871.9021260738373
43	-141.42915	198.23259	-2.3087795	-917.72534	-101.188675	134.53508	-2.4633954	-454.76443	133.93103	147.3	171999	-39.497543	9.501247	32.20573	-97.36727	39.115158	2.9289722	3949.9629304409027
44	-159.52039	200.75172	-2.3462024	-590.66077	-239.34683	237.81792	-6.8244104	-670.50934	228.625	348.7	175999	-39.35403	9.438434	22.118433	-99.89939	38.97666	2.952793	4050.2098722457886
45	-168.85234	190.38766	-3.0464392	-649.79443	-346.9069	519.86664	-5.580452	-1370.6254	239.0625	318.0	179999	-39.25451	9.370784	24.17034	-101.938576	38.875343	3.0288887	4146.873366117477
46	-114.64406	131.0516	-2.6578956	-562.261	-174.52957	206.58214	-2.4318955	-522.1945	125.84375	318.8	183999	-39.039967	9.261607	59.814743	-95.76079	38.660553	2.9680026	4244.131686925888
