Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-321.37265	591.525	-3.3994055	-2274.386	-380.65607	851.75867	-3.6361272	-2878.9692	142.76	129.5	3999	-8.700418	3.351242	0.525884	-15.551078	7.323495	0.50983804	71.7659707069397
2	-210.99355	442.24414	-3.3262196	-2351.6343	-10.120798	12.499034	-3.6183164	-46.69721	96.48718	2.7	7999	-11.19036	2.137636	-1.5794994	-20.748922	9.118792	1.2962617	182.1505765914917
3	-234.05582	637.5541	-2.765295	-2725.7754	-649.4494	981.944	-3.2019124	-2283.7654	98.85	301.7	11999	-15.271268	4.291998	0.5693973	-28.446058	13.5222025	2.9070117	282.0469470024109
4	-427.82642	779.92487	-3.3065631	-2334.5269	-739.9972	981.91876	-4.0670085	-2256.3906	192.33333	331.0	15999	-21.012793	6.3386703	1.5435634	-31.533297	19.168407	7.485551	386.73276925086975
5	-485.95428	810.0037	-3.2263172	-2906.447	-491.55997	972.642	-3.2641258	-2452.072	200.30435	201.1	19999	-28.41403	6.139363	10.788056	-51.383106	26.851225	7.2639775	475.96883511543274
6	-226.8621	464.37244	-3.1945212	-2627.132	-644.375	866.1513	-3.770931	-2542.7046	92.22727	257.6	23999	-30.949413	6.747215	13.586772	-50.873676	28.831198	9.331783	571.090484380722
7	-245.79297	517.62537	-3.2574837	-2397.6284	-795.2621	1059.6543	-3.895948	-2545.6655	121.5	318.4	27999	-26.811277	6.469183	7.538323	-47.424595	24.885452	7.0638576	675.262565612793
8	-560.62225	879.637	-3.3592775	-2510.1921	-38.963814	60.33075	-3.8072903	-209.46024	239.70589	15.6	31999	-29.601645	6.88195	13.253362	-79.1242	27.824762	8.495134	741.8238818645477
9	-437.55356	713.23376	-3.586164	-2122.1172	-259.02753	612.3854	-3.3636878	-2077.1035	175.21053	109.7	35999	-29.76992	8.358738	10.401071	-42.34502	27.950554	10.187547	820.0982503890991
10	-307.22937	720.15454	-3.4011927	-2526.7944	-682.5211	980.55975	-3.338118	-2192.3909	131.0	312.4	39999	-33.8675	9.509644	13.172793	-48.62169	32.306877	12.264824	922.6494159698486
11	-281.91547	661.48047	-3.199313	-2646.3394	-567.77765	940.5329	-3.6698594	-2691.9414	114.40741	215.0	43999	-37.120758	10.469625	20.012491	-56.368275	35.324245	14.399533	1014.0898025035858
12	-294.09772	700.60583	-3.1026554	-2809.5452	-441.06842	742.36035	-3.7688367	-2357.0178	118.97561	189.2	47999	-38.423363	11.86326	18.709036	-54.453583	36.673798	17.239292	1102.7284581661224
13	-237.87006	562.385	-3.2855659	-2309.5596	-938.31824	893.7283	-4.9512453	-2423.9878	108.57143	464.5	51999	-40.68942	12.667213	58.26742	-82.99516	38.853516	19.007875	1224.7208795547485
14	-1236.194	636.4295	-238.0164	-2251.3044	-1007.51886	1056.6387	-2.906326	-2369.0369	566.8571	442.2	55999	-22.371204	12.072449	31.776464	-53.456245	19.263613	10.496563	1343.155825138092
15	-842.001	944.4317	-3.857401	-2493.198	-422.60245	647.35376	-4.867931	-1954.5958	353.41666	217.8	59999	-18.903296	7.2151694	32.213146	-32.012684	17.103113	5.4005804	1435.1315567493439
16	-265.2066	568.15076	-2.8459938	-2004.5494	-27.488678	44.28671	-2.7389834	-145.61926	136.17241	10.8	63999	-25.145287	7.727638	45.874123	-41.23278	23.455248	6.659752	1502.1882891654968
17	-171.41086	455.43387	-2.9664435	-2329.0745	-295.72745	656.2752	-3.117952	-2207.842	74.4902	134.6	67999	-31.53653	9.451958	16.240732	-49.841316	30.084461	9.282459	1584.6022248268127
18	-347.65775	661.9643	-3.6157582	-2172.5127	-245.37534	691.8834	-3.1567187	-2320.2224	154.66667	105.4	71999	-39.03827	12.551636	28.69249	-77.233246	37.517136	14.60935	1663.5456974506378
19	-115.975044	314.69916	-2.510022	-1916.4303	-196.25246	345.61145	-3.6638105	-1044.2205	51.808823	86.6	75999	-42.265743	15.6171465	25.388916	-65.14217	40.745193	21.739805	1739.756670475006
20	-197.95015	458.8302	-3.1510565	-2097.7979	-855.40076	938.5451	-3.4725652	-2277.0698	89.5	376.1	79999	-43.11038	15.70847	17.960112	-65.92307	41.349384	23.639727	1852.1056697368622
21	-443.70084	785.2489	-3.003659	-2314.0283	-313.90244	747.38293	-3.3403087	-2517.539	204.5238	121.7	83999	-42.52666	15.852488	24.237984	-64.74963	40.84764	23.139227	1933.0910840034485
22	-309.18683	609.07227	-3.902892	-2401.124	-403.57446	798.30035	-4.2563744	-2547.0247	121.48276	164.1	87999	-44.119595	16.186872	34.952305	-73.27832	42.485523	24.841753	2020.5679004192352
23	-402.32346	703.5499	-3.4904032	-2542.8674	-347.95663	640.9005	-3.055662	-2214.6748	160.34782	142.3	91999	-43.59885	15.313514	33.204803	-66.05054	41.86329	22.253656	2104.7463731765747
