Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	83.778885	121.53667	305.7322	-0.34509373	105.63544	187.84036	483.44565	-2.1611652	237.9375	226.0	3999	3.7566516	2.220844	9.558495	-0.637814	-3.979411	0.05938414	465.24835681915283
2	81.39551	148.41653	496.27887	-1.3986182	175.2161	197.97205	561.89514	7.2386303	187.2381	335.0	7999	13.562332	3.8583848	27.257431	-3.5600505	-14.001756	0.46809223	1002.2078585624695
3	144.27014	155.02621	473.11862	-0.4888169	131.49532	199.34814	500.55356	-1.0886863	303.07693	310.4	11999	28.558558	5.7209396	50.768047	-13.07957	-29.359531	2.2035055	1506.440932750702
4	78.070076	140.14331	559.9284	-0.62221384	172.78934	243.76578	577.59576	-1.2642407	159.88889	331.8	15999	41.736565	6.196021	82.73652	-15.478552	-42.502655	5.611999	2036.1896514892578
5	105.93723	185.00923	544.26886	-2.0403156	93.395615	114.30895	370.8024	1.342184	195.47368	220.7	19999	53.76602	9.236945	97.115524	-175.91936	-54.71564	13.530268	2484.331310749054
6	97.31606	160.49686	550.0092	-2.2112792	35.735306	58.702312	198.4239	-0.8323567	205.57895	75.9	23999	69.07233	14.171056	124.2859	-121.358665	-70.57089	26.430561	2845.2771258354187
7	98.878044	187.29012	573.12726	-1.5788032	111.51727	198.36407	547.705	-0.62946415	189.04347	230.7	27999	89.62	15.617505	154.40565	-121.93109	-91.47088	40.61199	3301.3350219726562
8	87.587425	173.53247	552.9296	-0.80078095	141.7142	201.49658	532.29126	-0.47108704	196.36842	286.2	31999	102.75699	12.97692	185.39732	-59.825615	-104.17457	46.43093	3799.681549549103
9	93.219795	167.76608	561.79785	-0.9157545	273.1285	226.02454	508.57596	-0.4713122	188.5	538.5	35999	111.31613	13.245544	199.3096	-108.698524	-112.82114	55.121445	4470.8437287807465
10	135.55188	207.88493	551.96405	-0.5753468	133.50954	171.29453	563.6455	-1.4559355	270.42856	280.3	39999	118.4915	14.655643	199.7406	-65.04029	-119.96039	60.670162	4966.584526062012
11	58.318336	99.04144	354.54993	-0.4657954	73.968666	101.047134	288.63226	-0.627713	124.53125	327.2	43999	124.95363	16.136324	206.64743	-48.17191	-126.65823	75.24874	5485.588837385178
12	194.49487	151.03598	370.37885	-0.43928626	79.02351	155.65099	528.23267	-0.31925994	507.75	155.6	47999	135.06798	17.52455	243.82104	-73.73938	-137.07698	83.838844	5878.241854429245
13	89.49118	112.13169	314.1602	-0.6248487	69.03713	120.9972	366.74713	-1.0574073	271.30768	147.0	51999	145.1074	21.50451	272.42996	-91.92432	-147.32938	103.31979	6269.882269859314
14	65.792	134.31525	470.57574	-1.8586289	131.87674	123.26761	290.8316	-0.074679084	173.7037	471.1	55999	158.54488	21.658463	297.28693	-79.46426	-160.92899	121.49394	6869.106370449066
15	29.047388	79.22792	379.36014	-1.526678	93.88521	97.29098	278.95648	-0.40818104	85.3421	291.7	59999	165.11867	20.568329	300.51144	-81.87659	-167.22203	132.86885	7355.377915382385
16	79.38674	86.74683	257.5741	-0.35926336	52.60843	69.43941	222.43863	-0.79976684	280.11765	209.7	63999	168.48424	17.617441	274.5633	-112.3283	-170.74734	130.60863	7794.536201953888
17	67.30386	101.87963	338.01175	-2.2136505	77.78925	100.70325	252.95177	-0.65400356	159.56522	301.2	67999	172.6787	14.902485	270.78848	-169.75447	-174.92072	131.26628	8294.513008356094
18	60.738358	102.62283	362.62418	-0.843915	121.15706	176.62434	494.2755	-0.31628016	189.14285	270.6	71999	175.17598	12.785654	266.7852	-96.94196	-177.17809	117.106674	8779.50304722786
19	48.772835	103.645454	342.96902	-2.3786848	128.77823	123.01464	318.37473	-2.4693441	142.38461	354.3	75999	176.08604	15.897441	274.55408	-124.87744	-178.2313	129.72638	9315.4445271492
20	57.91961	98.17187	301.50363	-1.1515052	48.3157	68.36989	193.95058	-0.5613584	172.74074	134.7	79999	177.64645	16.790562	273.10416	-283.16956	-179.74564	130.4558	9704.182106733322
21	66.41104	110.18219	328.91577	-0.51896197	33.45864	37.03837	105.82784	-0.5790033	233.375	88.2	83999	179.57556	16.17215	274.08176	-88.99488	-181.88322	132.57843	10060.170190572739
22	68.57759	107.65943	372.7638	-1.7263713	131.1529	154.26973	530.5815	-1.2159251	158.07692	361.5	87999	183.13664	14.745665	269.5662	-160.84819	-185.34271	136.76949	10631.816108942032
