Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	33.881157	49.083046	125.84362	-0.64610064	51.226307	111.62842	327.0327	-101.898445	185.42857	495.9	3999	3.7174287	2.3899016	9.682649	-1.8993026	-4.161114	0.062622055	1005.5181596279144
2	26.601778	42.086124	164.06859	-1.5243372	56.337048	115.456375	361.30716	-67.13351	114.0	573.75	7999	12.342487	1.9740136	17.189281	-10.881877	-12.665221	0.59090954	2092.704894542694
3	17.848677	35.48893	176.7809	-1.8516347	55.39966	64.28638	201.46674	-38.19033	111.439026	514.1	11999	15.868786	1.0482893	19.306961	-18.541563	-16.04369	1.1786312	3080.2857394218445
4	18.22261	30.142586	135.03786	-0.98522544	24.19892	44.839718	112.12338	-30.316074	94.190475	440.75	15999	20.812622	2.972306	30.282362	-12.463624	-21.432148	2.4774508	3992.916937828064
5	8.90515	13.056093	49.258507	-1.3092974	35.64996	69.171715	248.58578	-38.961506	43.25	441.8	19999	28.625727	2.4979057	42.975483	-15.928091	-29.330359	5.4098215	4896.8851845264435
6	23.611473	45.58266	135.09674	-33.40422	130.9092	104.47769	290.7767	-42.3947	225.05556	893.6	23999	30.640587	2.5923266	37.506733	-24.36487	-30.875387	6.849416	6381.635533571243
7	188.83244	62.1007	233.97583	81.99855	149.16202	96.535065	294.15717	-0.36088863	966.5	829.5	27999	27.026665	1.9875578	35.409737	-18.693327	-27.277227	4.279416	7801.157470941544
8	121.22266	119.78471	286.92212	-15.533334	151.80064	94.1762	301.6845	14.488336	613.3333	778.95	31999	26.019905	1.9366403	32.98795	-19.756968	-26.277842	3.460613	9195.698227643967
9	131.22598	84.86453	278.27078	0.74347377	212.70366	83.40509	319.8177	37.119602	587.7143	918.55	35999	25.712027	1.9147125	32.896664	-31.156397	-26.034355	3.1080205	10775.05992770195
10	111.73579	100.72786	317.97037	-6.714302	221.8801	110.65016	371.92236	5.4643445	403.55554	783.55	39999	30.293617	2.9167373	40.572784	-17.518639	-30.913239	4.097754	12190.465322732925
11	94.49261	113.94297	343.7969	0.89010054	278.92484	69.62217	365.70596	47.120846	348.6154	934.7	43999	34.07915	2.2131133	44.489815	-27.923279	-34.541603	4.478073	13798.195870161057
12	113.782745	81.71657	258.1931	-0.54186004	300.65326	83.06476	393.8645	106.06234	426.375	884.95	47999	36.092876	2.1831553	48.11286	-19.601818	-36.530834	4.9438744	15297.555134057999
