Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-108.82041	230.34082	-2.002511	-1400.2699	-189.0723	181.78525	-2.2054963	-517.20703	77.98	168.1	3999	-5.4239197	2.265836	0.5204873	-10.32552	4.5875306	0.24654339	74.0038914680481
2	-174.39317	318.8384	-2.0646052	-1286.7644	-11.166098	22.75915	-2.1127796	-78.901215	124.5	5.6	7999	-7.292438	1.0466409	-1.2400751	-9.962766	5.9976645	0.35857058	131.32735323905945
3	-167.62529	372.0901	-1.7717037	-1485.6122	-2.9006944	0.7884005	-2.1918178	-4.9621353	119.875	1.0	11999	-6.5309725	1.3369279	-0.0222473	-9.949484	5.0450244	0.35175294	189.53443241119385
4	-109.91825	279.9905	-2.5146544	-1434.3998	-270.13193	476.58612	-1.7619342	-1459.8214	78.19231	182.2	15999	-5.520046	1.0056391	-0.8824728	-8.36039	4.254038	0.2891132	267.1633810997009
5	-119.34066	274.86597	-2.2966366	-1459.4539	-186.08597	396.69116	-2.1801355	-1352.3779	86.17391	139.2	19999	-5.943361	1.1252674	-0.819196	-8.278954	4.613779	0.37064943	339.2892072200775
6	-178.63628	358.9046	-1.7374598	-1439.4794	-72.3599	156.60492	-2.6556342	-513.61066	128.29033	45.6	23999	-6.4837775	1.224177	-0.2129097	-9.225066	5.186128	0.41583073	401.52535343170166
7	-120.59018	254.12512	-2.07739	-955.6417	-116.0898	299.55322	-2.0432565	-1008.60754	111.2	113.2	27999	-8.122085	2.128271	4.9673543	-13.197721	7.024979	0.66063756	471.4901463985443
8	-154.26183	333.8947	-2.2014813	-1182.5428	-47.456394	124.262375	-2.3115082	-419.50604	135.75	39.3	31999	-12.515799	2.8491032	3.7102902	-19.389795	11.556552	1.6075282	533.9722030162811
9	-223.85289	406.28394	-2.1660898	-1245.8461	-185.59396	377.6997	-1.2029039	-1189.04	196.45454	155.2	35999	-14.685556	3.6093953	7.91924	-20.731394	13.52282	3.0461712	609.6117055416107
10	-217.57043	425.88013	-1.989579	-1576.159	-149.19492	293.13733	-2.1370697	-1000.2189	155.06897	113.0	39999	-16.094154	3.9650512	4.5640717	-23.046276	15.060256	3.5365171	680.0568256378174
11	-163.09773	317.546	-2.244607	-1297.6204	-298.1696	501.21274	-1.8781697	-1274.9171	140.375	226.3	43999	-16.912077	3.9988413	5.525395	-23.71485	15.771596	3.6445577	762.2918734550476
