Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-69.06449	209.559	-1.9972353	-1311.2242	-152.64491	296.99463	18.832363	-984.65704	55.34722	340.3	3999	-3.1082962	1.3437984	1.4231669	-7.254468	2.0919867	0.4550047	104.83630847930908
2	-66.20069	115.457466	-1.8192288	-572.69385	-297.52634	321.89954	-3.3787277	-898.0697	53.851353	457.9	7999	-3.0346231	1.5587434	4.4746485	-6.874998	1.7126528	0.94981617	220.51106023788452
3	-34.28006	50.325882	-1.9170436	-239.58752	-123.49526	160.4471	-1.8239311	-492.47473	33.935184	215.2	11999	1.1971903	2.3792212	12.055221	-8.345611	-2.6747987	1.6179218	305.11586356163025
4	-62.89614	68.399994	-1.668712	-248.56908	-348.17123	261.78293	-5.9915657	-666.4061	96.6	548.7	15999	-1.791979	2.1604836	8.363251	-9.139365	1.0424751	0.6826088	432.60515427589417
5	-45.435608	67.932396	-2.241751	-390.38434	-146.2042	190.45499	-1.6298573	-483.63882	98.89189	320.8	19999	-6.50771	1.3595918	6.4267535	-15.145192	5.859102	0.65281886	534.5702836513519
6	-47.613087	83.32293	-2.0135279	-376.69937	-285.83105	320.90335	-3.639863	-821.8391	116.94444	514.2	23999	-8.033701	1.4379464	6.5873513	-13.801001	7.358039	1.0091504	657.668696641922
7	-36.379482	45.163643	-1.9804232	-210.59547	-102.55569	144.30522	-2.006661	-464.29837	81.05882	194.5	27999	-8.364753	1.3277097	6.668065	-13.239668	7.7598653	0.94593394	742.2170763015747
8	-25.842453	37.631912	-1.517665	-164.01208	-50.310905	48.750286	-2.0680907	-155.20807	62.16129	111.2	31999	-8.657985	1.135696	0.9037674	-13.462406	8.106098	0.874417	815.5605478286743
9	-21.572575	31.182571	-1.3088226	-168.31238	-95.52564	211.16754	-2.2921572	-724.3108	61.71642	219.7	35999	-8.438409	1.1446779	3.7435696	-13.870346	7.9001336	0.84878856	909.9334671497345
10	-25.02506	36.40256	1.4153513	-163.91936	-30.903158	73.67415	32.899822	-246.36465	69.58929	163.8	39999	-8.100519	1.1089193	4.595663	-20.053967	7.6047616	0.80575097	997.1737070083618
